"GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME"
"id","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file","Geographic Area Name"
"8600000US01566","6294","3212","3212","0","3082","0","ZCTA5 01566"
"8600000US01568","7480","4308","4308","0","3172","0","ZCTA5 01568"
"8600000US01569","13569","11052","11052","0","2517","0","ZCTA5 01569"
"8600000US01570","16767","16276","16276","0","491","0","ZCTA5 01570"
"8600000US01571","11390","9015","9015","0","2375","0","ZCTA5 01571"
"8600000US01581","18272","17371","17371","0","901","0","ZCTA5 01581"
"8600000US01583","7591","6702","6702","0","889","0","ZCTA5 01583"
"8600000US01585","4554","1996","0","1996","2558","0","ZCTA5 01585"
"8600000US01588","9733","9629","9629","0","104","0","ZCTA5 01588"
"8600000US01590","8875","5439","5439","0","3436","0","ZCTA5 01590"
"8600000US01602","22819","22819","22819","0","0","0","ZCTA5 01602"
"8600000US01603","19916","19916","19916","0","0","0","ZCTA5 01603"
"8600000US01604","34677","34677","34677","0","0","0","ZCTA5 01604"
"8600000US01605","26221","26221","26221","0","0","0","ZCTA5 01605"
"8600000US01606","19077","19077","19077","0","0","0","ZCTA5 01606"
"8600000US01607","8351","8351","8351","0","0","0","ZCTA5 01607"
"8600000US01608","3888","3888","3888","0","0","0","ZCTA5 01608"
"8600000US01609","22421","22421","22421","0","0","0","ZCTA5 01609"
"8600000US01610","23945","23945","23945","0","0","0","ZCTA5 01610"
"8600000US01611","2242","1705","1705","0","537","0","ZCTA5 01611"
"8600000US01612","4845","2130","2130","0","2715","0","ZCTA5 01612"
"8600000US01701","31217","31217","31217","0","0","0","ZCTA5 01701"
"8600000US01702","37206","37206","37206","0","0","0","ZCTA5 01702"
"8600000US01718","469","469","469","0","0","0","ZCTA5 01718"
"8600000US01719","4996","4991","4991","0","5","0","ZCTA5 01719"
"8600000US01720","21361","20147","20147","0","1214","0","ZCTA5 01720"
"8600000US01721","16593","16346","16346","0","247","0","ZCTA5 01721"
"8600000US01730","13221","13143","13143","0","78","0","ZCTA5 01730"
"8600000US01731","1396","1396","1396","0","0","0","ZCTA5 01731"
"8600000US01740","4897","285","285","0","4612","0","ZCTA5 01740"
"8600000US01741","4852","723","723","0","4129","0","ZCTA5 01741"
"8600000US01742","17726","15273","15273","0","2453","0","ZCTA5 01742"
